ticket_id,customer_id,created_date,ticket_type,priority,ticket_status,closed_date,resolution_hours,satisfaction_score,assigned_agent
T0015220,C04901,"Mar 11, 2026",Technical,Low,Resolved,3/13/2026,70,4,A. Chen
T0015221,C03206,12/3/2025,Service Quality,Medium,Open,,,,C. Nguyen
T0015222,C12763,6/9/2025,Billing,Urgent,Resolved,"Jun 09, 2025",5,5,B. Patel
T0015223,C11585,5/3/2025,Cancellation,Medium,Open,,,2,E. Wilson
T0015224,C11635,"Feb 28, 2026",  Technical  ,Urgent,Resolved,"Mar 01, 2026",40,4,F. Brown
T0015225,C09330,4/25/2025,Service Quality,Medium,Resolved,"Apr 26, 2025",35,,D. Garcia
T0015226,C10450,6/4/2026,Account Access,High,Open,,,2,B. Patel
T0015227,C03256,4/3/2025,Cancellation,Medium,Closed,4/4/2025,43,4,G. Lee
T0015228,C06732,5/18/2025,Cancellation,Low,Resolved,5/18/2025,10,4,H. Martinez
T0015229,C11135,6/10/2025,Service Quality,Low,Resolved,6/13/2025,79,4,F. Brown
T0015230,C02784,"Feb 05, 2026",Service Quality,Medium,Open,,,,B. Patel
T0015231,C17801,7/18/2025,Billing,Urgent,Resolved,7/18/2025,5 hrs,4,A. Chen
T0015232,C17934,7/12/2025,Technical,Low,Resolved,"Jul 18, 2025",150,1,C. Nguyen
T0015233,C05025,"Apr 26, 2026",Technical,High,Open,,,,B. Patel
T0015234,C14218,4/24/2026,Service Quality,Low,Resolved,4/25/2026,35,1,F. Brown
T0015235,C01466,6/9/2026,Plan Change,Medium,Open,,,,F. Brown
T0015236,C14186,9/25/2025,Account Access,Medium,Open,,,2,C. Nguyen
T0015237,C06999,"Dec 27, 2025",Technical,High,Resolved,12/28/2025,36,4,F. Brown
T0015238,C10469,8/17/2025,Service Quality,Medium,Closed,8/18/2025,45,3, H. Martinez 
T0015239,C13424,10/19/2025,Cancellation,High,Resolved,10/19/2025,12,4,F. Brown
T0015240,C09237,8/30/2025,service quality,Medium,Closed,"Aug 30, 2025",23,5,E. Wilson
T0015241,C01344,7/21/2025,Account Access,Medium,Resolved,7/21/2025,15, 4 ,D. Garcia
T0015242,C01587,9/27/2025,Cancellation,High,Resolved,9/27/2025,15,5,H. Martinez
T0015243,C07242,9/29/2025,Cancellation,Medium,Closed,9/30/2025,30,5,C. Nguyen
T0015244,C15265,2/6/2026,Technical,Medium,Open,,,3,B. Patel
T0015245,C13857,4/21/2025,Technical,Low,Closed,"Apr 23, 2025",51,5,E. Wilson
T0015246,C16245,"Jun 15, 2026",Service Quality,Low,Resolved,6/17/2026,53,2,H. Martinez
T0015247,C16720,10/29/2025,Account Access,Medium,closed,10/29/2025,22,5,C. Nguyen
T0015248,C02526,"Sep 03, 2025",Billing,Medium,Open,,,1,B. Patel
T0015249,C12188,5/31/2025,Billing,Low,Closed,6/1/2025,41,2,F. Brown
T0015250,C00588,4/20/2026,Service Quality,High,Closed,4/20/2026,14,,G. Lee
T0015251,C14780,1/3/2026,Technical,Medium,Closed,1/6/2026,95,,A. Chen
T0015252,C04427,6/13/2026,Technical,Medium,Open,,,2,E. Wilson
T0015253,C12260,9/24/2025,Technical,Low,Closed,9/27/2025,73,3,E. Wilson
T0015254,C03197,2/6/2026,Plan Change,High,Resolved,2/6/2026,9,4,F. Brown
T0015255,C05981,12/6/2025,Technical,Medium,Closed,12/8/2025,49,3,E. Wilson
T0015256,C01720,6/19/2026,Technical,Medium,Resolved,"Jun 24, 2026",120,1,B. Patel
T0015257,C09896,1/8/2025,Billing,Urgent,Resolved,1/9/2025,28,3,A. CHEN
T0015258,C04907,11/11/2025,Cancellation,Low,Resolved,11/11/2025,20,3,h. martinez
T0015259,C11550,6/3/2025,Billing,Urgent,Resolved,6/5/2025,53,4,G. Lee
T0015260,C07630,2/10/2025,Plan Change,Medium,Closed,"Feb 10, 2025",6 hrs,3,E. Wilson
T0015261,C10460,11/8/2025,PLAN CHANGE,High,Resolved,11/9/2025,24,1,C. Nguyen
T0015262,C04050,"Jan 03, 2026",Billing,Low,Closed,"Jan 05, 2026",48,3,E. Wilson
T0015263,C07128,3/17/2026,Cancellation,Medium,Open,,,3,D. Garcia
T0015264,C00433,3/3/2025,Billing,Medium,Closed,3/5/2025,51,2,E. Wilson
T0015265,C15903,12/17/2025,Billing,Medium,Closed,12/18/2025,41,4,B. Patel
T0015266,C09419,6/14/2026,Account Access,Medium,Resolved,"Jun 14, 2026",19 hrs,5,E. Wilson
T0015267,C12428,1/12/2025,Technical,Medium,Resolved,1/14/2025, 54 , 4 ,G. Lee
T0015268,C17840,11/22/2025,Service Quality,Medium,Open,,,,H. Martinez
T0015269,C12005,4/4/2025,Billing,Medium,Closed,4/5/2025,26,,G. Lee
T0015270,C03236,8/7/2025,Account Access,Medium,Closed,8/8/2025,43 hrs,5,B. Patel
T0015271,C09415,5/20/2026,Service Quality,Low,Resolved,5/20/2026,11,5,E. Wilson
T0015272,C04653,4/24/2025,Account Access,Low,Resolved,4/26/2025,51,3,B. Patel
T0015273,C09550,6/27/2026,Technical,Low,RESOLVED,6/28/2026,43,2,D. Garcia
T0015274,C02933,1/6/2025,Service Quality,Low,Closed,"Jan 10, 2025",117,2,D. Garcia
T0015275,C03671,3/31/2026,Plan Change,High,Resolved,3/31/2026,11,5,F. Brown	
T0015276,C13486,"Apr 06, 2026",Account Access, Medium,Resolved,4/12/2026,145,,F. Brown
T0015277,C07000,11/24/2025,Billing,Low,Closed,11/24/2025,3,5,B. Patel
T0015278,C17582,"Aug 25, 2025",Technical,Low,Resolved,8/27/2025,53,5,A. Chen
T0015279,C12700,4/20/2025,Technical,Medium,Closed,4/21/2025,42,3,H. Martinez
T0015280,C13640,"Apr 14, 2026",Account Access,Medium ,Closed,4/15/2026,36,2,B. Patel
T0015281,C08053,7/27/2025,Service Quality,Low,Resolved,8/2/2025,149,,B. Patel
T0015282,C12378,"Feb 23, 2026",Billing,High,Closed,2/23/2026,21,5,B. Patel
T0015283,C01140,"Jul 25, 2025",Account Access,Medium,Resolved,7/29/2025,102,2,C. Nguyen
T0015284,C02684,11/27/2025,Service Quality,High,Resolved,11/28/2025,39,4,B. Patel
T0015285,C09180,8/2/2025,Cancellation,Low,Resolved,8/2/2025,12 hrs,2,D. Garcia
T0015286,C05336,"Jun 02, 2026",Cancellation,Low,Open,,,,F. Brown
T0015287,C04341,1/9/2026,Billing,Medium,Resolved,1/10/2026,28,4,A. Chen
T0015288,C08493,1/4/2025,Account Access,Low,Closed,1/4/2025,11,,F. Brown
T0015289,C06251,"May 08, 2025",Account Access,Low,Closed,"May 10, 2025",58,4,D. Garcia
T0015290,C05599,6/29/2025,Service Quality,High,Closed,6/30/2025,38 hrs,3,A. Chen
T0015291,C01113,3/2/2025,Service Quality,Medium,Closed,3/5/2025,79,3,E. Wilson
T0015292,C04200,2/28/2026,Technical,High,Closed,"Mar 03, 2026",84,3,E. Wilson
T0015293,C12707,6/10/2025,Technical,High,Closed,6/11/2025,27,3,D. Garcia
T0015294,C03371,9/14/2025,Billing,High,Closed,9/14/2025,16,,F. Brown
T0015295,C06412,2/16/2026,Billing,Medium,Resolved,2/17/2026,33,1,A. Chen
T0015296,C07480,3/30/2025,Technical,Medium,Closed,4/1/2025,51,2,G. Lee
T0015297,C12311,11/9/2025,Technical,Medium,Closed,"Nov 12, 2025",80,1,C. Nguyen
T0015298,C14237,6/6/2026,Technical,Medium,Open,,,3,G. Lee
T0015299,C08928,"Mar 21, 2026",Billing,Medium,Open,,,1,H. Martinez
T0015300,C17353,3/28/2026,Cancellation,Low,Closed,"Apr 01, 2026",103,4,G. Lee
T0015301,C12525,3/11/2026,Cancellation,High,Resolved ,3/11/2026,3,,A. Chen
T0015302,C01002,"Dec 31, 2025",Billing,High,Resolved,"Dec 31, 2025",8,2,D. Garcia
T0015303, C14741 ,"Mar 30, 2026",Plan Change,Medium,Resolved,"Mar 31, 2026",33,5,G. Lee
T0015304,C12909,"May 07, 2025",Account Access,Medium,Closed,5/8/2025,29,3,H. Martinez
T0015305,C03481,9/6/2025,Account Access,Medium,Closed,9/6/2025, 23 ,,E. Wilson
T0015306,C11595,8/31/2025,Billing,Low,Closed,9/1/2025,44,3,C. Nguyen
T0015307,C03926,3/3/2025,Billing,Medium,Closed,3/5/2025,58,4,H. Martinez
T0015308,C06834,6/5/2026,Service Quality,Medium,Open,,,2,G. Lee
T0015309,C16224,12/20/2025,Technical,Low,Open,,,,B. Patel
T0015310,C00025,10/6/2025,Cancellation,High,resolved,10/8/2025,64,3,A. Chen
T0015311,C11866,8/18/2025,Account Access, Low,Open,,,,D. Garcia
T0015312,C11027,11/11/2025,Service Quality,Low,Open,,,2,B. Patel
T0015313,C03708,10/19/2025,Billing,Medium,Closed,,70,,B. Patel
T0015314,C17622,11/18/2025,Technical,Low,Open,,,,F. Brown
T0015315,C12062,4/24/2026,Billing,High,Resolved,4/25/2026,38,4,F. Brown
T0015316,C01137,12/12/2025,Technical,Urgent,Resolved,12/13/2025,35,5,D. Garcia
T0015317,C16875,8/24/2025,Billing,High,Resolved,8/24/2025,17,4,B. Patel
T0015318,C16593,6/20/2025,Technical,High,Resolved,6/20/2025,19,5,B. Patel
T0015319,C00301,6/22/2025,Service Quality,  Medium  ,Open,,,3,A. Chen
T0015320,C00432,11/19/2025,Account Access, Low,Open,,,1,G. Lee
T0015321,C15029,"Oct 16, 2025",Service Quality,Low,Closed,10/20/2025,119,4,A. Chen
T0015322,C02539,9/18/2025,Account Access,High,Open,,,,E. Wilson
T0015323,C04939,"Jan 08, 2026", Service Quality,High,Open,,,2,C. Nguyen
T0015324,C12305,"Feb 07, 2026",Service Quality,Urgent,Closed,2/7/2026,23,2,F. Brown
T0015325,C11215,7/15/2025,Plan Change,Low,Open,,,3,D. Garcia
T0015326,C04977,"Dec 07, 2025",Account Access,High,Open,,,,B. Patel
T0015327,C03179,9/16/2025,Technical,Low,Resolved,9/16/2025,21,5,A. Chen
T0015328,C02191,3/8/2025,Billing,Medium,Closed,"Mar 08, 2025",14,3,C. Nguyen
T0015329,C08535,2/27/2026,Plan Change,Low, Resolved,2/27/2026,20,2,G. Lee
T0015330,C03318,7/12/2025,Technical,Medium,open,,,4,G. Lee
T0015331,C06289,2/28/2026,Service Quality,Low,Closed,3/1/2026,46,5,D. Garcia
T0015332,C11797,7/27/2025,Billing,Medium,Resolved,7/29/2025,57,5,D. Garcia
T0015333,C14825,8/25/2025,Technical,High,Open,,,2,D. Garcia
T0015334,C07359,3/9/2026,Account Access,Medium,Closed,3/10/2026,38,4,C. Nguyen
T0015335,C11432,7/11/2025,Cancellation,Low,Closed,7/12/2025,41,5,H. Martinez
T0015336,C02005,9/13/2025,Plan Change,High,Open,,,1,D. Garcia
T0015337,C13217,11/12/2025,Cancellation,Urgent,Resolved,11/12/2025,8,4,A. Chen
T0015338,C12519,11/24/2025,Account Access,Medium,Closed,"Nov 25, 2025",26,4,D. Garcia
T0015339,C14545,6/15/2026,Account Access,High,Open,,,1,C. Nguyen
T0015340,C08751,5/22/2025,Plan Change,Low,Resolved,5/23/2025,36,4,D. Garcia
T0015341,C11936,1/15/2025,Account Access,High,Resolved,1/16/2025,43,5,H. Martinez
T0015342,C15632,11/8/2025,cancellation,Low,Resolved,11/8/2025,2,4,A. Chen
T0015343,C02910,5/4/2025,Technical,Medium,Resolved,"May 09, 2025",123,1,A. Chen
T0015344,C13135,11/25/2025,Cancellation,Urgent,Closed,11/26/2025,24,4,G. Lee
T0015345,C11706,6/15/2026,Technical,Medium,Closed,"Jun 17, 2026",59,3,F. Brown
T0015346,C17432,6/28/2026,Billing,Low,Resolved,6/28/2026,4,2,F. Brown
T0015347,C17518,5/25/2026,Technical,Low,Open,,,1,E. Wilson
T0015348,C14087,"May 24, 2025",SERVICE QUALITY,Low,Closed,5/25/2025,46,1,B. Patel
T0015349,C02548,5/4/2026,Technical,Urgent,Open,,,1,C. Nguyen
T0015350,C01591,"Jul 27, 2025",Billing,Low,Closed,7/31/2025,109,5,D. Garcia
T0015351,C10698,5/26/2025,Technical,Low,Resolved,5/26/2025,22 hrs,5,A. Chen
T0015352,C16891,2/22/2026,Technical,Low,Closed,2/24/2026,53,4,C. Nguyen
T0015353,C12979,1/22/2025,Plan Change,Low,Closed,1/23/2025,34,,E. Wilson
T0015354,C12032,7/4/2026,Technical,Low,Open,,,3,A. Chen
T0015355,C03672,3/2/2025,Account Access,Urgent,Closed,3/3/2025,28,3,F. Brown
T0015356,C05436,9/10/2025,Service Quality,Low,Closed,9/11/2025, 46 ,4,F. Brown
T0015357,C17941,3/7/2025, Technical,Medium,Open,,,2,G. Lee
T0015358,C05381,5/25/2025,Account Access,High,Closed,5/28/2025,73 hrs,3,B. Patel
T0015359,C16015,6/18/2026,Cancellation,High,Closed,6/19/2026,32,5,B. Patel
T0015360,C16693,5/25/2025,Technical ,Urgent,Resolved,5/27/2025,60,4,E. Wilson
T0015361,C15470,3/8/2026,Service Quality,Low,Closed,3/10/2026,51,4,F. Brown
T0015362,C15512,1/28/2026,Plan Change,High,Closed,1/29/2026,25,5,F. Brown
T0015363,C03607,"Apr 09, 2026",Technical,Medium,Closed,"Apr 10, 2026",45,,C. Nguyen
T0015364,C09461,8/31/2025,Cancellation,High,Closed,"Sep 01, 2025",25,4,G. Lee
T0015365,C07732,8/7/2025,Cancellation,Medium,Closed,"Aug 08, 2025",41,5,F. Brown
T0015366,C10410,9/26/2025,Technical,Low,Closed,"Oct 01, 2025",137,1,E. Wilson
T0015367,C10928,1/15/2025,Service Quality,medium,Resolved,1/15/2025,10,4,C. Nguyen
T0015368,C10237,11/6/2025,Technical,Medium,Closed,11/8/2025,56,3,B. Patel
T0015369,C15354,9/30/2025,Cancellation,Low,Open,,,4,B. Patel
T0015370,C12071,5/30/2025,Billing,Medium,Resolved,5/31/2025,42,,H. MARTINEZ
T0015371,C06666,3/26/2026,Billing,High,Closed,3/27/2026, 26 ,5,A. Chen
T0015372,C08445,11/25/2025,Service Quality,Low,Resolved,11/27/2025,53,3,A. Chen
T0015373,C02519,11/6/2025,Account Access,Medium,Closed,11/8/2025,50,2,A. Chen
T0015374,C13444,3/24/2026,Plan Change,  Medium  ,Resolved,3/24/2026,10,,D. Garcia
T0015375,C09229,4/12/2025,Billing,High,Open,,,2,D. Garcia
T0015376,C10900,8/15/2025,Account Access,Medium,Open,,,, F. Brown 
T0015377,C07083,11/15/2025,Account Access,High,Closed,11/17/2025,51,2,F. Brown
T0015378,C01875,7/10/2025,Cancellation,Low,Closed,7/12/2025,49,,F. Brown
T0015379,C04527,"Jun 11, 2026",Technical,High,Open,,,,D. Garcia
T0015380,C17483,12/23/2025,Plan Change,Low,resolved,12/23/2025,6,5,C. Nguyen
T0015381,C11334,3/25/2025,Billing,High,Open,,,1,E. Wilson
T0015382,C00528,"Jan 21, 2026",Cancellation, Low,Open,,,,H. Martinez
T0015383,C14098,"Mar 27, 2026",Account Access,Low,Resolved,"Mar 29, 2026",54,3,A. Chen
T0015384,C05446,4/8/2025,Service Quality,Medium,Resolved,4/9/2025,35,,E. Wilson
T0015385,C09201,1/8/2025,Billing,Urgent,Open,,,3,C. Nguyen
T0015386,C10454,1/6/2026,Technical,High,Closed,1/7/2026,25 hrs,3,B. Patel
T0015387,C08823,"Dec 21, 2025",Plan Change, Medium,Open ,,,,H. Martinez
T0015388,C17057,9/16/2025,Billing,Low,Open,,,,C. Nguyen
T0015389,C06411,2/13/2025,Billing,Urgent,Closed,"Feb 13, 2025",22,,D. Garcia
T0015390,C06266,6/4/2025,Account Access,Medium,Closed,6/5/2025,44,2,F. Brown
T0015391,C08443,6/22/2026,Account Access,Low,Closed,6/25/2026,82,5,a. chen
T0015392,C17222,2/23/2025,Account Access,Medium,Closed,2/25/2025,60,2,D. Garcia
T0015393,C12445,3/18/2026,Service Quality,Medium,Closed,3/19/2026,37,3,B. Patel
T0015394,C07575,3/3/2025,  Service Quality  ,Medium,Resolved,3/4/2025,46 hrs,1,C. Nguyen
T0015395,C12964,8/18/2025,Billing,High,Closed,8/19/2025,38,,C. Nguyen
T0015396,C16445,2/26/2026,Service Quality,Low,Closed,"Mar 02, 2026",116,4,C. Nguyen
T0015397,C03331,6/1/2026,  Billing  ,Medium,Closed,"Jun 01, 2026",14,,H. Martinez
T0015398,C02560,2/14/2026,Technical,Medium,Closed,2/14/2026,18,5,C. Nguyen
T0015399,C09335,12/15/2025,Technical,Medium,Closed,12/18/2025,81,4,A. Chen
T0015400,C14784,3/31/2025,Service Quality,Medium,Closed,"Apr 01, 2025",24,,B. Patel
T0015401,C07602,2/24/2025,Billing,Medium,Resolved,2/25/2025,44,4,H. Martinez
T0015402,C10897,11/11/2025,Plan Change,Medium,Closed,"Nov 12, 2025",46,5,A. Chen
T0015403,C04942,8/29/2025,Technical,Low,Closed,8/31/2025,63,5,G. Lee
T0015404,C01707,2/27/2025,Cancellation,Urgent,Resolved,"Feb 28, 2025",31,3,B. Patel
T0015405,C02926,5/25/2025,Account Access,Medium,Resolved,5/28/2025,91,4,E. Wilson
T0015406,C08336,2/3/2026,Account Access,High,Resolved,2/2/2026,27,4,B. Patel
T0015407,C11151,"Feb 10, 2026",Technical,Medium,Open,,,4,G. Lee
T0015408,C00706,12/19/2025,Billing,Medium,Open,,,2,D. Garcia
T0015409,C10950,4/6/2025,Technical,Medium,Open,,,,C. Nguyen
T0015410,C02538,"Sep 05, 2025",Service Quality,Low,Closed,9/10/2025,123,2,B. Patel
T0015411,C13113,"Mar 15, 2025",Service Quality,High,Closed,"Mar 15, 2025",15,4,H. Martinez
T0015412,C17480,12/26/2025,Plan Change,Medium,Closed,12/28/2025,61,3,G. Lee
T0015413,C11028,"Mar 24, 2025",Account Access,Medium,Closed,3/25/2025,45,2,F. Brown
T0015414,C09886,"Nov 28, 2025",Billing,Medium,Open,,,2,E. Wilson
T0015415,C13898,10/21/2025,Technical,Medium,Open,,,1,C. Nguyen
T0015416,C03969,1/8/2026,Account Access,Medium,Resolved,1/8/2026,19,4,D. Garcia
T0015417,C00882,1/8/2026,Cancellation,Low,Open,,,1,B. Patel
T0015418,C04016,11/29/2025,Cancellation,Medium,Resolved,"Nov 29, 2025",11,3,D. Garcia
T0015419,C13598,"Jan 27, 2026",Account Access,Medium,Closed,1/27/2026,10,5,E. Wilson
T0015420,C05724,2/11/2025,Technical,Low,Open,,,,D. Garcia
T0015421,C14770,"Mar 10, 2026",Plan Change,Low,Closed,3/11/2026,38,2,E. Wilson
T0015422,C03481,11/16/2025,Billing,Medium,Resolved,"Nov 16, 2025",18,,G. Lee
T0015423,C10505,4/2/2026,Technical,Low,Open,,,3,E. Wilson
T0015424,C04965,12/16/2025,Plan Change,Medium,Open,,,,G. Lee
T0015425,C10948,8/16/2025,Technical,High,Resolved,8/16/2025,19,4,B. Patel
T0015426,C01785,8/1/2025,Billing,High,Closed,8/1/2025,15,3,C. Nguyen
T0015427,C02475,"Jan 09, 2026",Cancellation,Low,Resolved,1/10/2026,34,,G. Lee
T0015428,C09963,9/1/2025,Technical,Medium,Resolved,"Sep 03, 2025",57,4,A. Chen
T0015429,C05629,4/3/2025,Billing,Low,Resolved,"Apr 04, 2025",28,3,G. Lee	
T0015430,C10819,5/23/2026,Service Quality,High,Open,,,,h. martinez
T0015431,C17703,"Mar 05, 2025",Technical,High, Closed,"Mar 08, 2025",85,5,B. Patel
T0015432,C17418,1/13/2026,Service Quality,High,Closed,1/14/2026,42,1,F. Brown
T0015433,C07083,9/30/2025,Technical,Medium,Resolved,10/1/2025,28,4,G. Lee
T0015434,C14855,3/30/2026,account access,Medium,Closed,3/30/2026,20,,A. Chen
T0015435, C16825,4/30/2025,Technical,Medium,closed,"May 02, 2025",48,3,F. Brown
T0015436,C07542,"Sep 23, 2025",Technical,Medium,Resolved,"Sep 26, 2025",81,3,C. Nguyen
T0015437,C07722,"Oct 05, 2025",Service Quality,Low,Closed,10/7/2025,67,5,D. Garcia
T0015438,C00496,3/26/2025,Account Access,Medium,Closed,3/26/2025,20,,B. Patel
T0015439,C03629,7/22/2025,Service Quality,Medium,Resolved,7/25/2025,73,3,F. Brown
T0015440,C05388,"Aug 13, 2025",Cancellation,High,Resolved,8/14/2025,30,2,E. Wilson
T0015441,C04064,6/20/2026,Technical,Medium,closed,6/21/2026,43,,G. Lee
T0015442,C01365,5/26/2025,Service Quality,Medium,Open ,,,,E. Wilson
T0015443,C01940,6/7/2025,Service Quality,High,Open,,,,H. Martinez
T0015444,C16227,6/20/2026,Billing,High,Open,,,1,G. Lee
T0015445,C13250,4/29/2025,Technical,Low,Resolved,5/9/2025,240,2,E. Wilson
T0015446,C15241,12/13/2025,Service Quality,Low,Closed,12/13/2025,19,5,D. Garcia
T0015447,C08317,9/30/2025,Account Access,Medium,Closed,10/1/2025,39,2,C. Nguyen
T0015448,C03563,8/21/2025,Technical,Medium,Closed,8/22/2025,43,3,B. Patel
T0015449,C16143,5/17/2026,Technical,Medium,Closed,"May 20, 2026",74,2,H. Martinez
T0015450,C08931,7/20/2025,Technical,Medium,Closed,7/20/2025,4 hrs,5,D. Garcia
T0015451,C12331,5/29/2025,Technical,Medium,Closed,5/30/2025,39,,G. Lee
T0015452,C06238,4/6/2026,Billing,High,Closed,4/7/2026,28,1,G. Lee
T0015453,C10292,6/19/2026,Billing,Medium,Closed,6/19/2026,12,5,F. Brown
T0015454,C01754,9/7/2025,Plan Change,Low,Resolved,"Sep 08, 2025",26,4,H. Martinez
T0015455,C08421,4/28/2025,Billing,Medium,  Open  ,,,1,E. Wilson
T0015456,C07109,"Sep 01, 2025",Account Access,Low,Resolved,9/4/2025,83,2,C. Nguyen
T0015457,C13962,3/16/2025,Billing,Low,Resolved,3/18/2025,71,1,C. Nguyen
T0015458,C05616,"Apr 12, 2026",Cancellation,HIGH,Resolved,"Apr 13, 2026",36,3,A. Chen
T0015459,C02213,7/30/2025,technical,High,Closed,7/31/2025,46,,G. Lee
T0015460,C03309,3/25/2026,Technical,Low,Resolved,3/27/2026,61 hrs,4,G. Lee
T0015461,C17679,"Nov 29, 2025",Billing,Medium,Closed,12/1/2025,48,4,H. Martinez
T0015462,C15183,11/11/2025,Plan Change,Low,Resolved,"Nov 13, 2025",65,3,F. Brown
T0015463,C13614,1/16/2025,Cancellation,Urgent,Resolved,1/17/2025,26,4,H. Martinez
T0015464,C13493,9/15/2025,Cancellation,High,Resolved,9/15/2025,6,5,F. Brown
T0015465,C12760,11/7/2025,Cancellation,Low,Resolved,11/8/2025,38,4,E. Wilson
T0015466,C10334,1/16/2026,Billing,Medium,Open,,,1,E. Wilson
T0015467,C12822,6/7/2026,Billing,High,Closed,6/7/2026,11,4,E. Wilson	
T0015468,C10691,2/14/2026,Billing,Low,Open,,,,H. Martinez
T0015469,C06906,"Sep 17, 2025",Technical,High,Open,,,1,F. Brown
T0015470,C16606,6/11/2025,Billing,Low,Closed,6/11/2025, 15 ,5,C. Nguyen
T0015471,C10093,1/19/2026,Billing,High,Closed,1/19/2026,6,3,C. Nguyen
T0015472,C01622,5/18/2026,Technical,Low,Open,,,,B. Patel
T0015473,C09022,"Oct 18, 2025",Service Quality,Low,Resolved,10/19/2025,43,3,G. Lee
T0015474,C12242,1/4/2026,Technical,Urgent,Closed,1/4/2026, 6 ,3,F. Brown
T0015475,C04628,4/30/2026,Plan Change,High,Resolved,5/1/2026,24, 5 ,C. Nguyen
T0015476,C02967,3/6/2026,Billing,Medium,Open,,,,C. Nguyen
T0015477,C04240,11/17/2025,Technical,Low,Closed,11/17/2025, 23 ,5,A. Chen
T0015478,C09129,1/23/2026,Plan Change,Medium,Closed,"Jan 24, 2026",37,,C. Nguyen
T0015479,C02175,4/8/2025,Plan Change,Low,Resolved,"Apr 09, 2025",37,3,H. Martinez
T0015480,C14325,10/17/2025,Billing,Low,Closed,10/21/2025,108,3,D. Garcia
T0015481,C10648,3/3/2026,Billing,Low,Closed ,3/8/2026,133,3,H. Martinez
T0015482,C09940,"Sep 16, 2025",Billing,Low,Closed,9/18/2025,60,4,A. Chen
T0015483,C02802,10/27/2025,Plan Change,Low,Resolved,10/29/2025,52,2,F. Brown
T0015484,C05474,9/29/2025,Account Access,  High  ,Resolved,9/29/2025,18,3,D. Garcia
T0015485,C10799,5/24/2026,Service Quality,Low,CLOSED,5/25/2026,40,3,G. Lee
T0015486,C01596,7/14/2025,Technical,High,Closed,7/18/2025,108,3,C. Nguyen
T0015487,C05795,9/5/2025,Cancellation,Medium,Resolved,9/6/2025, 27 ,3,A. Chen
T0015488,C13690,"Dec 11, 2025",Account Access,Low,Closed,12/14/2025,94,3,E. Wilson
T0015489,C07672,3/12/2026,Billing,Medium,Resolved,"Mar 14, 2026",65,4,F. Brown
T0015490,C10015,1/10/2025,Billing,High,Closed,1/10/2025,16,4,C. Nguyen
T0015491,C09793,3/2/2026,Technical,Medium,Open,,, 2 ,D. Garcia
T0015492,C13342,4/4/2025, Cancellation,Low,Resolved,4/5/2025,34,4,E. Wilson
T0015493,C02613,7/3/2025,Technical,Medium,Closed,"Jul 09, 2025",148,3,H. Martinez
T0015494,C05573,11/14/2025,Billing,Medium,Closed,11/15/2025, 28 ,3,C. Nguyen
T0015495,C07693,1/23/2026,Service Quality,High,Resolved,1/23/2026,22,5,E. Wilson
T0015496,C05795,11/25/2025,Service Quality,Low,Open,,,3,F. Brown
T0015497,C16814,"Apr 15, 2026",Service Quality,Urgent,Resolved,4/15/2026,7,5,F. Brown
T0015498,C07531,4/15/2026,Service Quality,Medium,Closed,4/16/2026,30,4,F. Brown
T0015499,C02101,1/28/2025,Service Quality,Medium,Resolved,1/28/2025,19, 5 ,E. Wilson
T0015500,C15005,10/24/2025,Account Access,Low,Open,,,1,A. Chen
T0015501, C08564 ,"May 19, 2026",Technical,  Medium  ,Open,,,,G. LEE
T0015502,C05109,6/25/2026,Technical,Medium,Resolved,6/27/2026,58,3,B. Patel
T0015503, C12066 ,1/15/2025,Account Access,Low ,Closed,1/15/2025,23,5,B. Patel
T0015504,C08976,2/12/2026,Billing,Medium,Resolved,"Feb 12, 2026",12,4,C. Nguyen
T0015505,C13868,"May 16, 2025",Technical,Low,Closed,5/22/2025,165,3,H. Martinez
T0015506,C11744,"Feb 03, 2026",  Service Quality  ,Low,Resolved,"Feb 04, 2026",28,4,D. Garcia
T0015507,C00178,7/11/2025,Service Quality,Urgent,Closed,"Jul 11, 2025",9,4,A. Chen
T0015508,C13117,7/4/2025,Account Access,Medium,Open,,,1,D. Garcia
T0015509,C00199,3/26/2025,BILLING,Medium,Resolved,3/26/2025,21,5,E. Wilson
T0015510,C10408,5/26/2026,Billing,Low,Resolved,5/27/2026,42,5,A. Chen
T0015511,C12427,"Apr 24, 2025",Billing ,medium,Closed,4/25/2025,26,4,E. WILSON
T0015512,C17003,3/6/2026,Technical,High,Closed,3/10/2026,102,2,H. Martinez
T0015513, C13396 ,8/24/2025,Service Quality,Low,Closed,"Aug 28, 2025",96,,B. Patel
T0015514,C16048,3/5/2025,Billing,Medium,Resolved,3/5/2025,10,,C. Nguyen
T0015515,C14462,8/1/2025,Service Quality,High,Open,,,,D. Garcia
T0015516,C17930,"Oct 13, 2025",Technical,Low,Resolved,10/15/2025,60,,H. Martinez
T0015517,C11154,6/20/2026,ACCOUNT ACCESS,Low,Resolved,6/22/2026,52,5,A. Chen
T0015518,C04007,3/29/2025,Service Quality,Urgent,Closed,4/1/2025,74,,D. Garcia
T0015519,C02411,3/20/2025, Technical,Medium,Open,,,2,B. Patel
T0015520,C01051,7/2/2025,Service Quality,High,Resolved,7/6/2025,108,1,F. Brown
T0015521,C01148,"Nov 15, 2025",Service Quality,High,Closed,11/15/2025,11,3,A. Chen
